VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID
VOID,WATER,VOID,WATER,WATER,WATER,WATER,WATER,WATER,VOID,WATER,VOID
VOID,WATER,VOID,WATER,VOID,WATER,WATER,WATER,WATER,VOID,WATER,VOID
VOID,WATER,VOID,WATER,VOID,VOID,VOID,VOID,WATER,VOID,WATER,VOID
VOID,WATER,VOID,WATER,VOID,WATER,WATER,WATER,WATER,VOID,WATER,VOID
VOID,WATER,WATER,WATER,VOID,WATER,VOID,VOID,WATER,VOID,WATER,VOID
VOID,VOID,VOID,VOID,VOID,WATER,VOID,VOID,WATER,VOID,WATER,VOID
VOID,?CHEST,VOID,WATER,WATER,WATER,VOID,WATER,WATER,WATER,WATER,VOID
VOID,FLOOR,VOID,WATER,VOID,WATER,VOID,VOID,VOID,VOID,WATER,VOID
VOID,WATER,WATER,WATER,VOID,WATER,VOID,WATER,WATER,WATER,WATER,VOID
VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID
