VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID
VOID,WATER,WATER,WATER,FLOOR,FLOOR,FLOOR,WATER,WATER,WATER,VOID
VOID,WATER,WATER,WATER,WATER,?CHEST,WATER,WATER,WATER,WATER,VOID
VOID,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER,VOID
VOID,FLOOR,WATER,WATER,WATER,WATER,WATER,WATER,WATER,FLOOR,VOID
VOID,FLOOR,?CHEST,WATER,WATER,STATUE,WATER,WATER,?CHEST,FLOOR,VOID
VOID,FLOOR,WATER,WATER,WATER,WATER,WATER,WATER,WATER,FLOOR,VOID
VOID,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER,WATER,VOID
VOID,WATER,WATER,WATER,WATER,?CHEST,WATER,WATER,WATER,WATER,VOID
VOID,WATER,WATER,WATER,FLOOR,FLOOR,FLOOR,WATER,WATER,WATER,VOID
VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID,VOID
